# 缺失翻译的素材列表
# 格式: slug|lang|count
3-tips-to-boost-your-confidence-ted-ed|mn|2
cam-12-academic-listening-test-3-part-2|mn|6
cam-10-academic-listening-test-3-part-2|mn|3
the-crane-of-gratitudejapanese-fairy-tales-in-english|mn|5
the-3-best-predictors-of-how-well-youll-age-juulia-jylhv|mn|13
the-viking|mn|10
cam-12-academic-listening-test-1-part-4|mn|7
cam-19-academic-listening-test-3-part-2|mn|2
april-fools-day-joke-english-conversation|mn|3
jessicas-first-day-of-school|mn|3
cam-17-academic-listening-test-4-part-1|mn|13
cam-15-academic-listening-test-4-part-4|mn|17
empty-your-mind-a-powerful-motivational-story-for-your-life|mn|20
cam-14-academic-listening-test-2-part-2|mn|14
ice-hockey|mn|10
cam-14-academic-listening-test-4-part-3|mn|9
canada-provinces-and-territories|mn|8
my-house|mn|1
your-struggle-is-your-power-the-seed-that-never-gave-up-life-lesson-story|mn|4
cam-14-academic-listening-test-2-part-3|mn|1
jennifer-the-firefighter|mn|1
cam-11-academic-listening-test-3-part-2|mn|15
cam-17-academic-listening-test-3-part-4|mn|9
cam-15-academic-listening-test-4-part-3|mn|4
corruption|mn|16
cam-19-academic-listening-test-3-part-1|mn|13
cam-14-academic-listening-test-2-part-4|mn|17
cowboys|mn|2
talking-about-a-trip-using-the-past-simple-an-english-conversation-about-a-past-trip|mn|2
cam-17-academic-listening-test-3-part-3|mn|16
the-wolf-and-the-lean-dog-short-stories-in-english-english-cartoon-moral-stories-in-english|mn|2
cam-13-academic-listening-test-4-part-3|mn|1
cam-13-academic-listening-test-4-part-2|mn|14
cam-15-academic-listening-test-4-part-2|mn|3
cam-19-academic-listening-test-2-part-4|mn|2
describing-your-hometown-adjectives-prepositions-of-place|mn|2
what-happens-to-your-brain-without-any-social-contact-terry-kupers|mn|5
elementary-school|mn|4
cam-14-academic-listening-test-3-part-1|mn|9
come-to-the-fair|mn|14
b5l2-dialogue|mn|4
talking-about-daily-routines-in-english-present-simple|mn|3
cam-19-academic-listening-test-2-part-3|mn|14
cam-12-academic-listening-test-4-part-4|mn|20
cam-17-academic-listening-test-3-part-2|mn|5
cam-19-academic-listening-test-3-part-3|mn|5
the-story-of-the-little-red-riding-hood-fairy-tale-story-for-children|mn|10
None|mn|3
cam-19-academic-listening-test-2-part-2|mn|3
memories|mn|3
new-years-day|mn|4
cam-17-academic-listening-test-3-part-1|mn|2
handels-messiah|mn|9
halloween-3|mn|7
my-mother|mn|5
jack-and-the-beanstalk-kids-stories-learnenglish-kids-british-council|mn|2
cam-15-academic-listening-test-2-part-3|mn|17
getting-old|mn|7
cam-15-academic-listening-test-3-part-3|mn|4
cam-13-academic-listening-test-4-part-1|mn|7
cam-14-academic-listening-test-3-part-2|mn|2
cam-17-academic-listening-test-2-part-4|mn|14
cam-11-academic-listening-test-2-part-1|mn|1
cam-15-academic-listening-test-4-part-1|mn|11
cam-12-academic-listening-test-4-part-2|mn|4
b3l3-dialogue|mn|2
how-humanity-got-hooked-on-coffee-jonathan-morris|mn|11
homework|mn|7
cam-19-academic-listening-test-2-part-1|mn|2
cam-12-academic-listening-test-1-part-1|mn|11
the-pet-store|mn|6
cam-14-academic-listening-test-3-part-4|mn|3
my-dad|mn|8
cam-17-academic-listening-test-2-part-3|mn|2
amy|mn|6
cam-15-academic-listening-test-3-part-2|mn|4
a-life-experience|mn|6
the-lie|mn|5
cam-11-academic-listening-test-2-part-2|mn|13
time|mn|2
garden|mn|1
cam-14-academic-listening-test-4-part-1|mn|1
moral-stories-in-english-the-ass-in-the-lions-skin-english-animated-short-stories|mn|1
snow|mn|1
unlock-the-secrets-to-school-success-develop-good-habits-today|mn|4
cam-17-academic-listening-test-2-part-2|mn|4
cam-19-academic-listening-test-1-part-4|mn|2
cam-13-academic-listening-test-3-part-4|mn|5
how-smart-are-crows-katharina-brecht|mn|16
cam-10-academic-listening-test-4-part-3|mn|18
making-friends|mn|5
cam-19-academic-listening-test-1-part-3|mn|11
cam-14-academic-listening-test-4-part-2|mn|15
the-middle-child|mn|3
places-to-live|mn|1
cam-14-academic-listening-test-3-part-3|mn|1
cam-12-academic-listening-test-2-part-3|mn|17
cam-15-academic-listening-test-2-part-4|mn|9
marks-big-game|mn|1
cam-17-academic-listening-test-2-part-1|mn|21
eating-out|mn|2
cam-13-academic-listening-test-3-part-3|mn|3
personal-computers|mn|1
advice|mn|1
a-wedding|mn|3
cam-10-academic-listening-test-4-part-2|mn|10
who-is-the-tallest-easy-english-conversations-episode-18|mn|1
cam-11-academic-listening-test-2-part-4|mn|2
cam-11-academic-listening-test-2-part-3|mn|1
cam-10-academic-listening-test-2-part-4|mn|13
cam-10-academic-listening-test-2-part-2|mn|4
cam-10-academic-listening-test-3-part-4|mn|4
what-lack-of-sleep-does-to-the-teenage-brain-wendy-troxel|mn|21
cam-14-academic-listening-test-2-part-1|mn|9
the-police|mn|5
cam-12-academic-listening-test-2-part-2|mn|13
cam-10-academic-listening-test-1-part-1|mn|1
cam-12-academic-listening-test-3-part-1|mn|1
cam-11-academic-listening-test-1-part-1|mn|7
cam-13-academic-listening-test-3-part-2|mn|8
cam-13-academic-listening-test-2-part-3|mn|13
transportation-2|mn|4
cam-10-academic-listening-test-1-part-2|mn|1
cam-10-academic-listening-test-1-part-3|mn|16
cam-10-academic-listening-test-2-part-3|mn|4
cam-10-academic-listening-test-3-part-3|mn|10
a-rainy-day|mn|6
going-camping|mn|5
the-library|mn|9
the-goose-that-laid-the-golden-egg-short-stories-aesops-fables-in-english|mn|9
cam-10-academic-listening-test-4-part-4|mn|3
cam-13-academic-listening-test-2-part-4|mn|4
cam-19-academic-listening-test-1-part-2|mn|5
cam-15-academic-listening-test-2-part-1|mn|1
cam-17-academic-listening-test-1-part-4|mn|13
cam-15-academic-listening-test-3-part-4|mn|5
cam-15-academic-listening-test-1-part-4|mn|16
cam-17-academic-listening-test-1-part-3|mn|23
cam-15-academic-listening-test-2-part-2|mn|3
methods-of-transportation|mn|4
cam-13-academic-listening-test-2-part-2|mn|10
pretending|mn|7
cam-19-academic-listening-test-1-part-1|mn|11
real-life-conversations-for-english-speaking-practice-talking-about-daily-routines-beginners|mn|5
cam-11-academic-listening-test-1-part-2|mn|14
cam-15-academic-listening-test-1-part-3|mn|17
cam-13-academic-listening-test-2-part-1|mn|10
why-do-people-dislike-other-people|mn|9
cam-17-academic-listening-test-1-part-2|mn|7
whos-in-your-family-easy-english-conversations-episode-15|mn|6
roommate-wanted|mn|6
food-talking-about-food-beginner-english-a-conversation-about-food|mn|2
sooubway-part-3|mn|37
cam-10-academic-listening-test-4-part-1|mn|7
cam-13-academic-listening-test-1-part-4|mn|8
cam-17-academic-listening-test-1-part-1|mn|12
cam-15-academic-listening-test-1-part-2|mn|5
cam-18-academic-listening-test-4-part-4|mn|13
the-smart-paperboy|mn|7
